linie;linienname;bpk_anfang;bpk_ende;km_anfang;km_ende;stationierung_anfang;stationierung_ende;n;e;n2;e2;geopos;geopos2;tst
206;Renens VD Ouest - Bussigny Est;Renens VD Ouest (bif);Bussigny Est (bif);5.187;6.338;0;1000000;1154756.64;2533530.071;1155231.902;2532488.449;6.57208700737, 46.5407882914;6.55843913114, 46.5449587988;"{""type"": ""LineString"", ""coordinates"": [[6.57208700737, 46.5407882914], [6.55843913114, 46.5449587988]]}"
238;Porrentruy - Bonfol;Porrentruy;Bonfol;0.0;10.893;0;1000000;1252296.688;2572944.253;1258185.5739;2578655.3504;7.08007728509, 47.4209163831;7.15547801824, 47.4740917351;"{""type"": ""LineString"", ""coordinates"": [[7.08007728509, 47.4209163831], [7.15547801824, 47.4740917351]]}"
255;Givisiez - Murten;Givisiez Ouest;Murten/Morat;4.457;22.162;0;1000000;1185116.939;2575658.841;1197189.989;2575372.918;7.11968351267, 46.8167576212;7.11528264747, 46.9253466912;"{""type"": ""LineString"", ""coordinates"": [[7.11968351267, 46.8167576212], [7.11528264747, 46.9253466912]]}"
258;Kerzers West - Kerzers BLS;Kerzers West (Abzw);Kerzers BLS;21.966;22.198;0;1000000;1202539.827;2581239.596;1202761.406;2581209.468;7.19208900316, 46.9736615303;7.19168386654, 46.9756537968;"{""type"": ""LineString"", ""coordinates"": [[7.19208900316, 46.9736615303], [7.19168386654, 46.9756537968]]}"
268;Biel Depot Ost - Biel Aebistrasse;Biel/Bienne Depot Ost;Biel/Bienne Aebistrasse;98.11;98.843;0;1000000;1220005.013;2586324.021;1219980.517;2585613.313;7.25837606837, 47.1308852573;7.2490095631, 47.130649763;"{""type"": ""LineString"", ""coordinates"": [[7.25837606837, 47.1308852573], [7.2490095631, 47.130649763]]}"
293;Unterzollikofen - Worblaufen;Unterzollikofen;Worblaufen;1.16;2.6;0;1000000;1204475.1007;2601420.0928;1203125.0964;2601470.0884;7.4573002142, 46.9913355597;7.45795329711, 46.979192011;"{""type"": ""LineString"", ""coordinates"": [[7.4573002142, 46.9913355597], [7.45795329711, 46.979192011]]}"
294;Worb Dorf - Worblaufen;Worb Dorf;Worblaufen;9.68;20.87;0;1000000;1197659.9795;2609415.1419;1203125.0964;2601470.0884;7.56226266104, 46.9299681013;7.45795329711, 46.979192011;"{""type"": ""LineString"", ""coordinates"": [[7.56226266104, 46.9299681013], [7.45795329711, 46.979192011]]}"
310;Thun - Spiez - Interlaken Ost;Thun (Eigentumsgrenze);Bonigen Gleisende;0.062;29.73;0;1000000;1177702.999;2614851.738;1170875.927;2634620.266;7.63300366429, 46.7503503163;7.8911996664, 46.6882065531;"{""type"": ""LineString"", ""coordinates"": [[7.63300366429, 46.7503503163], [7.8911996664, 46.6882065531]]}"
312;Zweilutschinen - Grindelwald;Zweilutschinen;Grindelwald;0.0;11.15;0;1000000;1164719.694;2635320.1166;1163869.7525;2645480.1839;7.89987557414, 46.6327923912;8.03246523218, 46.6245330215;"{""type"": ""LineString"", ""coordinates"": [[7.89987557414, 46.6327923912], [8.03246523218, 46.6245330215]]}"
313;Grutschalp - Murren;Grutschalp;Murren BLM;0.0;4.28;0;1000000;1160694.6648;2634645.1015;1157049.6239;2635125.0473;7.89075842161, 46.5966209548;7.89674422085, 46.5638072766;"{""type"": ""LineString"", ""coordinates"": [[7.89075842161, 46.5966209548], [7.89674422085, 46.5638072766]]}"
332;Frutigen - Frutigen Nordportal (Ost);Frutigen Sud (Abzw);Frutigen Nordportal (Abzw);14.054;14.648;0;1000000;1159096.996;2616208.419;1158513.349;2616106.809;7.65010489229, 46.5829490131;7.64875890915, 46.577701242;"{""type"": ""LineString"", ""coordinates"": [[7.65010489229, 46.5829490131], [7.64875890915, 46.577701242]]}"
360;Rho - Gallarate - Arona;Legnano;Arona;13.25;50.43;0;1000000;1049999.6366;2714960.0155;1067498.8416;2687340.0494;8.91158757204, 45.5920646659;8.56096761052, 45.7535582075;"{""type"": ""LineString"", ""coordinates"": [[8.91158757204, 45.5920646659], [8.56096761052, 45.7535582075]]}"
411;Solothurn - Niederbipp;Solothurn;Niederbipp;0.0;14.548;0;1000000;1228144.25;2607884.418;1235531.542;2619386.781;7.54268921098, 47.2041925029;7.69481806732, 47.2704017343;"{""type"": ""LineString"", ""coordinates"": [[7.54268921098, 47.2041925029], [7.69481806732, 47.2704017343]]}"
414;Langenthal - St. Urban;Langenthal Gaswerk;St. Urban Ziegelei;1.095;6.98;0;1000000;1230505.2225;2626010.5062;1230800.2305;2630110.5067;7.78205779382, 47.2249653058;7.83621107997, 47.227444943;"{""type"": ""LineString"", ""coordinates"": [[7.78205779382, 47.2249653058], [7.83621107997, 47.227444943]]}"
418;Anschlussgleis Herzogenbuchsee Nord;Herzogenbuchsee Nord (Agl);Herzogenbuchsee;65.137;66.715;0;1000000;1227591.39;2619150.628;1226381.482;2619881.936;7.69136043606, 47.1989903674;7.70095826853, 47.1880861283;"{""type"": ""LineString"", ""coordinates"": [[7.69136043606, 47.1989903674], [7.70095826853, 47.1880861283]]}"
421;Solothurn RM - Burgdorf West;Solothurn RM (Abzw);Burgdorf West (Abzw);0.306;20.401;0;1000000;1228085.9172;2607733.7847;1212255.137;2613441.006;7.54070010935, 47.2036695826;7.61555612471, 47.0611837574;"{""type"": ""LineString"", ""coordinates"": [[7.54070010935, 47.2036695826], [7.61555612471, 47.0611837574]]}"
430;Hasle Ruegsau - Thun;Hasle-Ruegsau;Thun (Abzw);-0.019;33.04;0;1000000;1207268.722;2616475.778;1178788.244;2613949.053;7.65532241986, 47.0162627866;7.62122299102, 46.7601319542;"{""type"": ""LineString"", ""coordinates"": [[7.65532241986, 47.0162627866], [7.62122299102, 46.7601319542]]}"
442;Ramsei - Huttwil;Ramsei;Huttwil;0.009;19.471;0;1000000;1205126.451;2620635.206;1218245.008;2630659.492;7.70993011037, 46.9968769975;7.84260766282, 47.1144900419;"{""type"": ""LineString"", ""coordinates"": [[7.70993011037, 46.9968769975], [7.84260766282, 47.1144900419]]}"
469;Meiringen West - Interlaken Ost Brunig;Meiringen West;Interlaken Brunig (Gleisende);45.905;74.16;0;1000000;1175508.839;2656574.174;1171106.105;2632789.29;8.17874258161, 46.7283809692;7.8672817044, 46.690369447;"{""type"": ""LineString"", ""coordinates"": [[8.17874258161, 46.7283809692], [7.8672817044, 46.690369447]]}"
475;Brienz - Brienzer Rothorn;Brienz;Brienzer Rothorn;0.0;7.6;0;1000000;1178359.331;2645865.808;1181924.9292;2645565.4926;8.03894632985, 46.754843737;8.03537045658, 46.7869374218;"{""type"": ""LineString"", ""coordinates"": [[8.03894632985, 46.754843737], [8.03537045658, 46.7869374218]]}"
480;Hergiswil - Engelberg;Hergiswil NW;Engelberg;0.0;24.74;0;1000000;1203873.539;2666307.331;1185825.588;2673589.775;8.31018280227, 46.9826179284;8.40298012584, 46.81951711;"{""type"": ""LineString"", ""coordinates"": [[8.31018280227, 46.9826179284], [8.40298012584, 46.81951711]]}"
500;Basel SBB - Olten - Luzern;Basel SBB;Luzern;0.0;95.093;0;1000000;1266309.826;2611362.891;1211383.852;2666223.964;7.58956279016, 47.5474120551;8.31018320694, 47.0501778281;"{""type"": ""LineString"", ""coordinates"": [[7.58956279016, 47.5474120551], [8.31018320694, 47.0501778281]]}"
502;Liestal - Waldenburg;Liestal;Waldenburg;0.0;13.07;0;1000000;1259340.621;2622064.002;1248480.304;2623420.5134;7.7313674807, 47.4844611721;7.74879716218, 47.3867364893;"{""type"": ""LineString"", ""coordinates"": [[7.7313674807, 47.4844611721], [7.74879716218, 47.3867364893]]}"
503;Sissach - Laufelfingen - Olten;Sissach;Olten;21.104;39.292;0;1000000;1256952.89;2628154.733;1244670.532;2635441.909;7.81202757047, 47.4627541169;7.90769964791, 47.3519347593;"{""type"": ""LineString"", ""coordinates"": [[7.81202757047, 47.4627541169], [7.90769964791, 47.3519347593]]}"
504;Zofingen - Suhr;Zofingen Nord (Abzw);Suhr;0.412;16.719;0;1000000;1237935.728;2637946.449;1246954.266;2648615.291;7.94027718668, 47.2912212132;8.08229064021, 47.3716354742;"{""type"": ""LineString"", ""coordinates"": [[7.94027718668, 47.2912212132], [8.08229064021, 47.3716354742]]}"
513;Basel SBB GB Verbindungslinie;Basel SBB GB VL;Basel SBB GB;121.23;121.718;0;1000000;1265369.81;2613100.115;1265750.769;2612814.716;7.61261190507, 47.5389256092;7.6088322933, 47.5423574611;"{""type"": ""LineString"", ""coordinates"": [[7.61261190507, 47.5389256092], [7.6088322933, 47.5423574611]]}"
518;Mullheim (Baden) - Basel Bad Bhf;Mullheim (Baden);Basel Bad Bf;237.3;270.68;0;1000000;1295400.5966;2611800.6705;1268524.66;2612664.855;7.59614979199, 47.8090258172;7.60692041847, 47.5673079057;"{""type"": ""LineString"", ""coordinates"": [[7.59614979199, 47.8090258172], [7.60692041847, 47.5673079057]]}"
521;Umfahrung Sud: Basel SBB RB I - Muttenz;Hagnau (Abzw);Muttenz;2.761;4.838;0;1000000;1265661.376;2613883.909;1264783.152;2615758.188;7.62303094192, 47.5415318546;7.64789442691, 47.5335912119;"{""type"": ""LineString"", ""coordinates"": [[7.62303094192, 47.5415318546], [7.64789442691, 47.5335912119]]}"
522;Umfahrung Nord: Gellert - Pratteln;Gellert Nord (Abzw);Pratteln Ueberwerfung;0.738;7.56;0;1000000;1267360.18;2613296.639;1263651.734;2618111.249;7.61528128344, 47.5568225163;7.67909755306, 47.5233550572;"{""type"": ""LineString"", ""coordinates"": [[7.61528128344, 47.5568225163], [7.67909755306, 47.5233550572]]}"
525;Basel SBB RB - Basel Auhafen;Basel SBB RB Nordkopf (Abzw);Basel Auhafen;0.015;3.819;0;1000000;1265453.649;2614587.121;1265350.144;2616820.321;7.63236433818, 47.5396484366;7.66202109558, 47.5386643545;"{""type"": ""LineString"", ""coordinates"": [[7.63236433818, 47.5396484366], [7.66202109558, 47.5386643545]]}"
529;Basel SBB RB II - Schweizerhalle;Basel SBB RB II Ost (Abzw);Schweizerhalle;7.028;9.655;0;1000000;1263996.845;2617712.723;1264554.103;2616845.018;7.67381977306, 47.5264697379;7.66231907116, 47.5315043299;"{""type"": ""LineString"", ""coordinates"": [[7.67381977306, 47.5264697379], [7.66231907116, 47.5315043299]]}"
531;Olten Verbindungslinie;Olten Nord (Abzw);Olten Ost (Abzw);37.44;38.375;0;1000000;1246124.591;2636215.64;1245423.56;2636792.073;7.91805718578, 47.364970758;7.92563043101, 47.3586337075;"{""type"": ""LineString"", ""coordinates"": [[7.91805718578, 47.364970758], [7.92563043101, 47.3586337075]]}"
543;Sursee - Triengen;Sursee (Abzw);Triengen Gleisende;0.465;9.014;0;1000000;1224986.955;2649810.875;1231831.3;2647970.1;8.09568557612, 47.1739677946;8.07213330297, 47.2356644991;"{""type"": ""LineString"", ""coordinates"": [[8.09568557612, 47.1739677946], [8.07213330297, 47.2356644991]]}"
591;Verbindungslinie CBT Est Camorino Nord;S. Antonino (dira);Camorino Nord;226.2;227.243;0;1000000;1113368.1453;2718769.8988;1113079.876;2719509.749;8.97630378985, 46.1613198118;8.9858062254, 46.1585963125;"{""type"": ""LineString"", ""coordinates"": [[8.97630378985, 46.1613198118], [8.9858062254, 46.1585963125]]}"
597;Spurwechsel Sedrun SMF;Sedrun SMF Nord;Sedrun SMF Sud;120.413;121.587;0;1000000;1169722.999;2701753.412;1168570.858;2701948.122;8.76840909521, 46.6709790718;8.77069758767, 46.6605867489;"{""type"": ""LineString"", ""coordinates"": [[8.76840909521, 46.6709790718], [8.77069758767, 46.6605867489]]}"
602;Arth Goldau - Rigi Kulm;Arth-Goldau;Rigi Kulm;0.0;8.55;0;1000000;1211487.521;2684404.807;1212124.8135;2679450.6632;8.54944630067, 47.0490448834;8.48436664333, 47.0553890792;"{""type"": ""LineString"", ""coordinates"": [[8.54944630067, 47.0490448834], [8.48436664333, 47.0553890792]]}"
623;Locarno S. Antonio - Locarno FART;Locarno S. Antonio;Locarno FART;0.0;1.84;0;1000000;1114069.1383;2704440.0748;1114349.1419;2705360.0973;8.79097774645, 46.1699988137;8.8029512348, 46.1723739483;"{""type"": ""LineString"", ""coordinates"": [[8.79097774645, 46.1699988137], [8.8029512348, 46.1723739483]]}"
636;Capolago-Riva S. Vitale - Monte Generoso;Capolago-Riva S. Vitale;Generoso Vetta;0.0;8.99;0;1000000;1084642.939;2719534.984;1087473.526;2722585.2457;8.97890525715, 45.9028372958;9.01893336965, 45.9277487021;"{""type"": ""LineString"", ""coordinates"": [[8.97890525715, 45.9028372958], [9.01893336965, 45.9277487021]]}"
637;Chiasso Smistamento - Chiasso;Chiasso Smistamento Nord (bif);Chiasso Ovest (bif);204.4;206.368;0;1000000;1077852.59;2721646.467;1077043.041;2723418.254;9.00435917179, 45.8413919185;9.02694669497, 45.8337908732;"{""type"": ""LineString"", ""coordinates"": [[9.00435917179, 45.8413919185], [9.02694669497, 45.8337908732]]}"
648;Brugg Sud - Brugg Nord (VL);Brugg AG Sud (Abzw);Brugg AG Nord (Abzw);31.136;32.46;0;1000000;1258195.674;2658007.844;1259253.855;2657219.801;8.20809946437, 47.4719777576;8.19778244194, 47.4815635562;"{""type"": ""LineString"", ""coordinates"": [[8.20809946437, 47.4719777576], [8.19778244194, 47.4815635562]]}"
649;Aarau - Woschnau Tunnel alt;Aarau;Woschnau Tunnel;41.506;42.556;0;1000000;1249128.422;2646255.56;1248740.269;2645280.399;8.0512737187, 47.3913595142;8.03831908023, 47.3879361899;"{""type"": ""LineString"", ""coordinates"": [[8.0512737187, 47.3913595142], [8.03831908023, 47.3879361899]]}"
655;Wohlen BDWM - Bremgarten West;Wohlen BDWM-bd;Bremgarten West;0.013;6.952;0;1000000;1244506.037;2662844.66;1244258.908;2667893.859;8.27033129671, 47.3484137245;8.33711091194, 47.3456905658;"{""type"": ""LineString"", ""coordinates"": [[8.27033129671, 47.3484137245], [8.33711091194, 47.3456905658]]}"
660;Thalwil - Zug - Fluhmuhle;Thalwil;Fluhmuhle (Abzw);12.094;64.009;0;1000000;1238954.704;2685175.08;1212078.436;2664443.189;8.56476944907, 47.2959814072;8.28684762136, 47.0566007109;"{""type"": ""LineString"", ""coordinates"": [[8.56476944907, 47.2959814072], [8.28684762136, 47.0566007109]]}"
694;RBL Depot;RBL Depot;RBL Ost;12.043;12.665;0;1000000;1251728.942;2672338.929;1252038.945;2671794.924;8.3971371593, 47.4124002078;8.38997942708, 47.4152477471;"{""type"": ""LineString"", ""coordinates"": [[8.3971371593, 47.4124002078], [8.38997942708, 47.4152477471]]}"
696;Ein-/Ausfahrt RBL Feld A;RBL A-Gruppe;Silberen (Abzw);12.186;13.298;0;1000000;1251867.943;2672278.93;1252715.152;2671560.181;8.39636470854, 47.4136568983;8.386977419, 47.4213547505;"{""type"": ""LineString"", ""coordinates"": [[8.39636470854, 47.4136568983], [8.386977419, 47.4213547505]]}"
701;Eglisau - Koblenz - Stein Sackingen Ost;Eglisau;Stein-Sackingen Ost (Abzw);22.247;73.97;0;1000000;1269631.163;2681106.759;1265586.944;2638855.642;8.51655801586, 47.572374547;7.95469803221, 47.5398618766;"{""type"": ""LineString"", ""coordinates"": [[8.51655801586, 47.572374547], [7.95469803221, 47.5398618766]]}"
705;Tanklager Otelfingen Ost - Otelfingen;Tanklager O'fingen (Gleisende);Otelfingen;31.509;33.836;0;1000000;1256760.17;2673677.602;1256449.115;2671556.916;8.41570311517, 47.4574995925;8.38753243209, 47.4549362025;"{""type"": ""LineString"", ""coordinates"": [[8.41570311517, 47.4574995925], [8.38753243209, 47.4549362025]]}"
714;Zurich - Altstetten (Sudeinfahrt);Zurich Langstrasse;Zurich Altstetten Ost (Abzw);0.921;3.719;0;1000000;1248396.929;2682329.779;1249396.732;2679763.344;8.52888956481, 47.3812610325;8.49508556756, 47.3905683659;"{""type"": ""LineString"", ""coordinates"": [[8.52888956481, 47.3812610325], [8.49508556756, 47.3905683659]]}"
715;Zurich Altstetten Ost - Zurich Hard;Zurich Altstetten Ost (Abzw);Hard Kaferberg (Abzw);-0.212;1.195;0;1000000;1249396.732;2679763.344;1249520.234;2680997.068;8.49508556756, 47.3905683659;8.51144650851, 47.3915285287;"{""type"": ""LineString"", ""coordinates"": [[8.49508556756, 47.3905683659], [8.51144650851, 47.3915285287]]}"
725;Nidelbad - Nidelbad Ost;Nidelbad (Abzw);Nidelbad Ost (Abzw);9.675;11.375;0;1000000;1240733.372;2683374.446;1239586.644;2684378.217;8.54129594927, 47.3122079143;8.55435393442, 47.3017671631;"{""type"": ""LineString"", ""coordinates"": [[8.54129594927, 47.3122079143], [8.55435393442, 47.3017671631]]}"
740;Rapperswil - Uster - Wallisellen Ost;Rapperswil SG;Wallisellen Ost (Abzw);59.349;92.589;0;1000000;1231355.903;2704370.125;1251739.811;2687644.388;8.8167448876, 47.2248872123;8.59991421681, 47.4106387253;"{""type"": ""LineString"", ""coordinates"": [[8.8167448876, 47.2248872123], [8.59991421681, 47.4106387253]]}"
742;Hinwil - Baretswil - Bauma;Hinwil;Bauma;13.966;25.263;0;1000000;1239742.648;2705960.695;1247441.069;2708732.707;8.83971989441, 47.3000569504;8.87823304223, 47.3688366369;"{""type"": ""LineString"", ""coordinates"": [[8.83971989441, 47.3000569504], [8.87823304223, 47.3688366369]]}"
745;ZH Langstrasse - Dietlikon Sud (S-Bahn);Zurich Langstrasse;Dietlikon Sud (Abzw);99.052;109.74;0;1000000;1248396.929;2682329.779;1252406.083;2688945.25;8.52888956481, 47.3812610325;8.61728068265, 47.4164561609;"{""type"": ""LineString"", ""coordinates"": [[8.52888956481, 47.3812610325], [8.61728068265, 47.4164561609]]}"
748;ZH Altstetten - ZH Oerlikon, DML;Zurich Altstetten Ost (Abzw);Zurich Oerlikon;197.16;206.72;0;1000000;1249396.732;2679763.344;1251778.101;2683433.901;8.49508556756, 47.3905683659;8.54413990999, 47.4115300412;"{""type"": ""LineString"", ""coordinates"": [[8.49508556756, 47.3905683659], [8.54413990999, 47.4115300412]]}"
750;ZH Oerlikon Nord - Dorfnest;Zurich Oerlikon Nord (Abzw);Dorfnest (Abzw);5.33;13.374;0;1000000;1252254.489;2683797.603;1255390.319;2688318.739;8.5490477069, 47.4157681314;8.60956980369, 47.4433780269;"{""type"": ""LineString"", ""coordinates"": [[8.5490477069, 47.4157681314], [8.60956980369, 47.4433780269]]}"
756;Ueberwerfung Hurlistein;Hurlistein West;Hurlistein Ost;13.68;15.241;0;1000000;1253329.672;2691345.703;1253042.476;2692878.831;8.64927407252, 47.4244333784;8.66953035908, 47.4216360905;"{""type"": ""LineString"", ""coordinates"": [[8.64927407252, 47.4244333784], [8.66953035908, 47.4216360905]]}"
762;Winterthur Nord - Schaffhausen RB Ost;Winterthur Nord;Schaffhausen RB Ost (Ende SBB);26.489;58.834;0;1000000;1262169.787;2696979.178;1285664.349;2691415.641;8.72584625888, 47.5031248227;8.65685398104, 47.7151957824;"{""type"": ""LineString"", ""coordinates"": [[8.72584625888, 47.5031248227], [8.65685398104, 47.7151957824]]}"
769;Winterthur West - Bulach;Winterthur West (Abzw);Bulach;1.002;16.258;0;1000000;1260972.752;2696354.88;1264267.926;2682660.579;8.71730239711, 47.4924520624;8.53620919891, 47.5239499229;"{""type"": ""LineString"", ""coordinates"": [[8.71730239711, 47.4924520624], [8.53620919891, 47.5239499229]]}"
831;Weinfelden - Tagermoos;Weinfelden;Tagermoos (Abzw);19.175;39.594;0;1000000;1269723.992;2725494.691;1279884.642;2728530.798;9.10636822199, 47.5662242632;9.14964818147, 47.6569950633;"{""type"": ""LineString"", ""coordinates"": [[9.10636822199, 47.5662242632], [9.14964818147, 47.6569950633]]}"
852;Sulgen - Gossau SG;Sulgen;Gossau SG;0.01;22.946;0;1000000;1266802.49;2731380.223;1252807.191;2736927.398;9.18369443891, 47.5388040255;9.25305069333, 47.4118315785;"{""type"": ""LineString"", ""coordinates"": [[9.18369443891, 47.5388040255], [9.25305069333, 47.4118315785]]}"
854;Gossau SG - Wasserauen;Gossau SG AB Gleisende;Wasserauen Gleisende;-0.187;32.284;0;1000000;1252731.986;2736749.429;1238945.815;2750439.989;9.25067025146, 47.4111923493;9.42737697489, 47.2842487514;"{""type"": ""LineString"", ""coordinates"": [[9.25067025146, 47.4111923493], [9.42737697489, 47.2842487514]]}"
857;Rorschach Ost (Abzw) - Heiden;Rorschach Ost (Abzw);Heiden Gleisende;0.06;5.667;0;1000000;1260669.184;2756380.89;1257084.423;2758255.874;9.51347106894, 47.4781841623;9.53706432077, 47.4455057472;"{""type"": ""LineString"", ""coordinates"": [[9.51347106894, 47.4781841623], [9.53706432077, 47.4455057472]]}"
869;Romanshorn Sud - St.Gallen St.Fiden;Romanshorn Sud (Abzw);St. Gallen St. Fiden;1.158;19.127;0;1000000;1268974.678;2745945.725;1255585.793;2747457.284;9.37780027867, 47.5552588156;9.39344380222, 47.4345403825;"{""type"": ""LineString"", ""coordinates"": [[9.37780027867, 47.5552588156], [9.39344380222, 47.4345403825]]}"
870;St.Gallen West - Lichtensteig;St. Gallen West (Abzw);Wattwil;22.52;53.163;0;1000000;1253501.261;2744946.904;1240040.832;2724621.459;9.35950099113, 47.4163553155;9.08648237238, 47.2994772641;"{""type"": ""LineString"", ""coordinates"": [[9.35950099113, 47.4163553155], [9.08648237238, 47.2994772641]]}"
883;St. Margrethen Ost - Lauterach Nord;St. Margrethen Ost (Abzw);Lauterach Nord (Abzw);0.555;9.58;0;1000000;1258024.096;2766402.381;1261763.576;2772161.441;9.64537999409, 47.4519436383;9.72315544551, 47.4840799855;"{""type"": ""LineString"", ""coordinates"": [[9.64537999409, 47.4519436383], [9.72315544551, 47.4840799855]]}"
885;Lindau - Bregenz - Feldkirch - Bludenz;Lindau Insel;Bludenz;0.0;67.75;0;1000000;1268352.692;2768756.801;1225499.952;2780000.693;9.68049999943, 47.5441999961;9.81255899737, 47.1559618689;"{""type"": ""LineString"", ""coordinates"": [[9.68049999943, 47.5441999961], [9.81255899737, 47.1559618689]]}"
890;Sargans Ost - Ziegelbrucke;Sargans Ost;Ziegelbrucke;-0.098;33.605;0;1000000;1212198.092;2752758.187;1221845.441;2722998.129;9.44894979333, 47.0432061016;9.06005166998, 47.1361559116;"{""type"": ""LineString"", ""coordinates"": [[9.44894979333, 47.0432061016], [9.06005166998, 47.1361559116]]}"
920;Landquart RhB - Chur - Disentis;Landquart;Disentis Betriebsgrz. MGB/RhB;0.0;73.018;0;1000000;1203988.14;2760969.261;1173564.08;2708198.092;9.55404469208, 46.9674404284;8.85351934984, 46.7045122814;"{""type"": ""LineString"", ""coordinates"": [[9.55404469208, 46.9674404284], [8.85351934984, 46.7045122814]]}"
950;St. Moritz - Tirano;St. Moritz;Tirano;0.0;60.688;0;1000000;1152444.6853;2784710.9817;1121849.8964;2810486.9431;9.8450935445, 46.4978214255;10.1667959727, 46.2151599599;"{""type"": ""LineString"", ""coordinates"": [[9.8450935445, 46.4978214255], [10.1667959727, 46.2151599599]]}"
5005;Bodio cunicolo di aggiramento;Bodio cunicolo di aggira. sud;Bodio cunicolo di aggira. nord;0.0;1.262;0;1000000;1136764.361;2714570.389;1137591.911;2713710.042;8.92769648692, 46.372472982;8.91671994391, 46.3800623416;"{""type"": ""LineString"", ""coordinates"": [[8.92769648692, 46.372472982], [8.91671994391, 46.3800623416]]}"
9210;La Neuveville - Tuscherz;La Neuveville;Tuscherz;90.049;99.946;0;1000000;1212480.91;2573912.987;1218252.357;2581686.073;7.09523241202, 47.0628327873;7.19731836547, 47.1150077526;"{""type"": ""LineString"", ""coordinates"": [[7.09523241202, 47.0628327873], [7.19731836547, 47.1150077526]]}"
9782;Bruttenertunnel Nord;Bassersdorf Ost (Vzw);Mulberg West;152.18;154.0;0;1000000;1254784.65;2689955.1;1254939.6621;2691716.1468;8.63113963011, 47.4377095751;8.65451358718, 47.4388605321;"{""type"": ""LineString"", ""coordinates"": [[8.63113963011, 47.4377095751], [8.65451358718, 47.4388605321]]}"
9784;Bassersdorf - Baltenswil (Abzw);Bassersdorf;Baltenswil (Abzw);14.753;16.297;0;1000000;1254874.74;2689582.648;1254153.102;2690955.3675;8.6262209443, 47.4385705616;8.64426925247, 47.4318925678;"{""type"": ""LineString"", ""coordinates"": [[8.6262209443, 47.4385705616], [8.64426925247, 47.4318925678]]}"
9855;St.Gallen AB - Riethusli;St. Gallen AB;St. Gallen Riethusli;0.032;2.013;0;1000000;1254153.383;2745625.847;1252962.63;2745546.73;9.36870748565, 47.4220689407;9.3672713878, 47.4113798987;"{""type"": ""LineString"", ""coordinates"": [[9.36870748565, 47.4220689407], [9.3672713878, 47.4113798987]]}"
100;Lausanne - Simplon Tunnel I - Iselle;Lausanne;Iselle di Trasquera;0.0;167.478;0;1000000;1152042.412;2537874.991;1117573.699;2659302.524;6.6290923032, 46.5167918355;8.20701407234, 46.2070085838;"{""type"": ""LineString"", ""coordinates"": [[6.6290923032, 46.5167918355], [8.20701407234, 46.2070085838]]}"
113;Blonay - Les Pleiades;Blonay;Les Pleiades;0.0;4.79;0;1000000;1146210.3517;2558289.679;1148135.3514;2559399.6683;6.89563167877, 46.4659170359;6.90991241626, 46.4833015492;"{""type"": ""LineString"", ""coordinates"": [[6.89563167877, 46.4659170359], [6.90991241626, 46.4833015492]]}"
120;Montreux - Zweisimmen;Montreux MOB;Zweisimmen;0.0;62.43;0;1000000;1142900.3402;2559574.7309;1155801.717;2595108.922;6.91265033409, 46.4362210753;7.37486190719, 46.5534825513;"{""type"": ""LineString"", ""coordinates"": [[6.91265033409, 46.4362210753], [7.37486190719, 46.5534825513]]}"
121;Montreux - Glion;Montreux MVR-mtgn;Glion;0.0;2.73;0;1000000;1142860.3383;2559599.7299;1142400.3296;2560499.6996;6.91297909331, 46.4358627524;6.92472788526, 46.4317785498;"{""type"": ""LineString"", ""coordinates"": [[6.91297909331, 46.4358627524], [6.92472788526, 46.4317785498]]}"
124;Les Planches - Les Diablerets;Les Planches (Aigle);Les Diablerets;12.771;23.344;0;1000000;1133875.3884;2570479.5582;1133370.4026;2577214.5756;7.05511103061, 46.3556075013;7.14263676764, 46.3513281688;"{""type"": ""LineString"", ""coordinates"": [[7.05511103061, 46.3556075013], [7.14263676764, 46.3513281688]]}"
128;Villars - Col-de-Bretaye;Villars-sur-Ollon;Col-de-Bretaye;0.0;4.652;0;1000000;1127310.3194;2570509.5887;1130125.3862;2571869.5507;7.0559185789, 46.2965526464;7.07339720446, 46.3219341346;"{""type"": ""LineString"", ""coordinates"": [[7.0559185789, 46.2965526464], [7.07339720446, 46.3219341346]]}"
129;Aigle - Ollon - Monthey-Ville;Aigle;Monthey-Ville;0.0;11.165;0;1000000;1129606.2;2563416.288;1122630.2755;2562114.3889;6.96368321186, 46.3168554186;6.94734992899, 46.254031565;"{""type"": ""LineString"", ""coordinates"": [[6.96368321186, 46.3168554186], [6.94734992899, 46.254031565]]}"
130;Monthey-En Place - Champery;Monthey-En Place;Champery;0.0;12.26;0;1000000;1123325.2633;2562029.3805;1113885.3544;2556184.6029;6.94619086454, 46.2602784731;6.87127794226, 46.1750068181;"{""type"": ""LineString"", ""coordinates"": [[6.94619086454, 46.2602784731], [6.87127794226, 46.1750068181]]}"
142;Zermatt - Gornergrat;Zermatt GGB;Gornergrat;0.0;9.347;0;1000000;1096980.426;2624008.329;1092474.306;2626623.933;7.74867170807, 46.023944578;7.78219268401, 45.9833125897;"{""type"": ""LineString"", ""coordinates"": [[7.74867170807, 46.023944578], [7.78219268401, 45.9833125897]]}"
